Субъект;площадь;процент;округ
Республика Саха (Якутия);3083523;18,01;Дальневосточный
Красноярский край;2366797;13,82;Сибирский
Тюменская область с ХМАО и ЯНАО;1464173;8,55;Уральский
Хабаровский край;787633;4,6;Дальневосточный
Иркутская область;774846;4,52;Сибирский
Ямало-Ненецкий автономный округ;769250;4,49;Уральский
Чукотский автономный округ;721481;4,21;Дальневосточный
Архангельская область включая НАО;589913;3,44;Северо-Западный
Ханты-Мансийский автономный округ — Югра;534801;3,12;Уральский
Камчатский край;464275;2,71;Дальневосточный
Магаданская область;462464;2,7;Дальневосточный
Забайкальский край;431892;2,52;Дальневосточный
Республика Коми;416774;2,43;Северо-Западный
Архангельская область без НАО;413103;2,41;Северо-Западный
Амурская область;361908;2,11;Дальневосточный
Республика Бурятия;351334;2,05;Дальневосточный
Томская область;314391;1,84;Сибирский
Свердловская область;194307;1,13;Уральский
Республика Карелия;180520;1,05;Северо-Западный
Новосибирская область;177756;1,04;Сибирский
Ненецкий автономный округ;176810;1,03;Северо-Западный
Республика Тыва;168604;0,98;Сибирский
Алтайский край;167996;0,98;Сибирский
Приморский край;164673;0,96;Дальневосточный
Пермский край;160236;0,94;Приволжский
Тюменская область без ХМАО и ЯНАО;160122;0,94;Уральский
Мурманская область;144902;0,85;Северо-Западный
Вологодская область;144527;0,84;Северо-Западный
Республика Башкортостан;142947;0,83;Приволжский
Омская область;141140;0,82;Сибирский
Оренбургская область;123702;0,72;Приволжский
Кировская область;120374;0,7;Приволжский
Волгоградская область;112877;0,66;Южный
Саратовская область;101240;0,59;Приволжский
Ростовская область;100967;0,59;Южный
Кемеровская область;95725;0,56;Сибирский
Республика Алтай;92903;0,54;Сибирский
Челябинская область;88529;0,52;Уральский
Сахалинская область;87101;0,51;Дальневосточный
Тверская область;84201;0,49;Центральный
Ленинградская область;83908;0,49;Северо-Западный
Нижегородская область;76624;0,45;Приволжский
Краснодарский край;75485;0,44;Южный
Республика Калмыкия;74731;0,44;Южный
Курганская область;71488;0,42;Уральский
Республика Татарстан;67847;0,4;Приволжский
Ставропольский край;66160;0,39;Северо-Кавказский
Республика Хакасия;61569;0,36;Сибирский
Костромская область;60211;0,35;Центральный
Псковская область;55399;0,32;Северо-Западный
Новгородская область;54501;0,32;Северо-Западный
Самарская область;53565;0,31;Приволжский
Воронежская область;52216;0,3;Центральный
Республика Дагестан;50270;0,29;Северо-Кавказский
Смоленская область;49779;0,29;Центральный
Астраханская область;49024;0,29;Южный
Московская область;44329;0,26;Центральный
Пензенская область;43352;0,25;Приволжский
Удмуртская Республика;42061;0,25;Приволжский
Рязанская область;39605;0,23;Центральный
Ульяновская область;37181;0,22;Приволжский
Еврейская автономная область;36271;0,21;Дальневосточный
Ярославская область;36177;0,21;Центральный
Брянская область;34857;0,2;Центральный
Тамбовская область;34462;0,2;Центральный
Курская область;29997;0,18;Центральный
Калужская область;29777;0,17;Центральный
Владимирская область;29084;0,17;Центральный
Белгородская область;27134;0,16;Центральный
Республика Мордовия;26128;0,15;Приволжский
Республика Крым;26081;0,15;Южный
Тульская область;25679;0,15;Центральный
Орловская область;24652;0,14;Центральный
Липецкая область;24047;0,14;Центральный
Республика Марий Эл;23375;0,14;Приволжский
Ивановская область;21437;0,13;Центральный
Чувашская Республика;18343;0,11;Приволжский
Чеченская Республика;16171;0,09;Северо-Кавказский
Калининградская область;15125;0,09;Северо-Западный
Карачаево-Черкесия;14277;0,08;Северо-Кавказский
Кабардино-Балкария;12470;0,07;Северо-Кавказский
Республика Северная Осетия — Алания;7987;0,05;Северо-Кавказский
Республика Адыгея;7792;0,05;Южный
Республика Ингушетия;3123;0,02;Северо-Кавказский
Москва;2561;0,01;Центральный
Санкт-Петербург;1403;0,01;Северо-Западный
Севастополь;864;0,01;Южный